response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	RUNX2	responders_Pre	responders_Post	2112	459	8.793012889964268e-9	0.5634428434673533	0.33329313494977236	0.255	0.135	3.0549564683602856e-4	0.12	1
responders	Trm_merge	ATP6V1A	responders_Pre	responders_Post	2112	459	9.184416650493388e-9	0.5516010802469136	0.2618923151946365	0.159	0.057	3.1909418768809176e-4	0.102	1
responders	Trm_merge	TRERF1	responders_Pre	responders_Post	2112	459	9.765429335051058e-9	0.5669176445830858	0.3483264472695093	0.295	0.17	3.392803113876789e-4	0.12499999999999996	1
responders	Trm_merge	CXCR6	responders_Pre	responders_Post	2112	459	9.850638149472677e-9	0.5847125255826237	0.3869851982011676	0.776	0.728	3.422407212271292e-4	0.04800000000000004	1
responders	Trm_merge	CTSH	responders_Pre	responders_Post	2112	459	1.0278957504373397e-8	0.5822687660922955	0.4666139453126861	0.612	0.516	3.5712182057444494e-4	0.09599999999999996	1
responders	Trm_merge	PER1	responders_Pre	responders_Post	2112	459	1.0955169539131376e-8	0.5386390456856143	0.2356523834349658	0.088	0.011	3.806154552980414e-4	0.077	1
responders	Trm_merge	N4BP2L2	responders_Pre	responders_Post	2112	459	1.2006607636414066e-8	0.5844417417640457	0.32880677417538795	0.819	0.749	4.171455691119339e-4	0.06999999999999995	1
responders	Trm_merge	SYNJ2	responders_Pre	responders_Post	2112	459	1.2047817605031436e-8	0.5576496170858916	0.29529071181251376	0.208	0.092	4.185773270516071e-4	0.116	1
responders	Trm_merge	ZFP36L2	responders_Pre	responders_Post	2112	459	1.2130071507348365e-8	0.584551086848881	0.5766182680103955	0.84	0.841	4.2143507437980424e-4	-0.001	1
responders	Trm_merge	SELPLG	responders_Pre	responders_Post	2112	459	1.2272987299045286e-8	0.5718154791377831	0.3551795798563664	0.368	0.237	4.264003977307304e-4	0.131	1
responders	Trm_merge	METTL8	responders_Pre	responders_Post	2112	459	1.2561880915163324e-8	0.5637321953192052	0.4291660415523945	0.265	0.146	4.3643742863551935e-4	0.11900000000000002	1
responders	Trm_merge	MRPL10	responders_Pre	responders_Post	2112	459	1.2689639358543368e-8	0.5595899765630158	0.2960092411317609	0.225	0.107	4.4087614023387224e-4	0.118	1
responders	Trm_merge	FAS	responders_Pre	responders_Post	2112	459	1.3007975650682212e-8	0.5650474310094408	0.3846699512575315	0.28	0.159	4.5193609803165214e-4	0.12100000000000002	1
responders	Trm_merge	HIST1H1E	responders_Pre	responders_Post	2112	459	1.3992543117799724e-8	0.5702387436456063	0.4001104678471663	0.348	0.222	4.861429255417158e-4	0.12599999999999997	1
responders	Trm_merge	GPX4	responders_Pre	responders_Post	2112	459	1.4128812781097309e-8	0.5842256304878853	0.3744895867806628	0.859	0.876	4.908773424536638e-4	-0.01700000000000001	1
responders	Trm_merge	NAB1	responders_Pre	responders_Post	2112	459	1.4380372083081025e-8	0.5473345588235294	0.27360193921488585	0.135	0.041	4.99617267282484e-4	0.094	1
responders	Trm_merge	KIAA1551	responders_Pre	responders_Post	2112	459	1.5842916747124612e-8	0.583853238265003	0.3374185217601684	0.84	0.806	5.504304565453502e-4	0.03399999999999992	1
responders	Trm_merge	SAP30	responders_Pre	responders_Post	2112	459	1.7699323816325487e-8	0.5614988735393147	0.40300711621527296	0.248	0.133	6.149276073505964e-4	0.115	1
responders	Trm_merge	EVA1B	responders_Pre	responders_Post	2112	459	2.0521860819533697e-8	0.5649695484254308	0.3946941489948218	0.288	0.174	7.129910104530592e-4	0.114	1
responders	Trm_merge	DAPK2	responders_Pre	responders_Post	2112	459	2.2267921468676997e-8	0.5645027687000727	0.3766017260843853	0.286	0.163	7.736543955862449e-4	0.12299999999999996	1
responders	Trm_merge	IQGAP2	responders_Pre	responders_Post	2112	459	2.3175597677816076e-8	0.5805636017033076	0.4751683943684262	0.625	0.54	8.051897901203639e-4	0.08499999999999996	1
responders	Trm_merge	TMED8	responders_Pre	responders_Post	2112	459	2.3899836967597982e-8	0.5623437190532778	0.3465152684178111	0.263	0.146	8.303520357652566e-4	0.11700000000000002	1
responders	Trm_merge	LRRC8C	responders_Pre	responders_Post	2112	459	2.4329182449388365e-8	0.5657617845117845	0.3503266971651522	0.304	0.179	8.452687858391e-4	0.125	1
responders	Trm_merge	RSRP1	responders_Pre	responders_Post	2112	459	2.4592790901947625e-8	0.5824797195814353	0.33866249422769634	0.79	0.743	8.544273343063664e-4	0.04700000000000004	1
responders	Trm_merge	LINC01943	responders_Pre	responders_Post	2112	459	2.4739922364114672e-8	0.5781693569683766	0.3917146264958389	0.543	0.412	8.59539122696436e-4	0.13100000000000006	1
